"name","type","source","code","mean","sd","lowend","highend","mid","low","up","ymax","ymin"
"Spotted Tilapia","RB10","Epiphytes","Wet",0.397,0.241,0.024,0.891,0.367,0.205,0.568,0.891,0.024
"Spotted Tilapia","RB10","Floc","Wet",0.117,0.156,0.001,0.543,0.043,0.011,0.169,0.406,0.001
"Spotted Tilapia","RB10","Mangrove","Wet",0.097,0.14,0.001,0.492,0.045,0.013,0.124,0.2905,0.001
"Spotted Tilapia","RB10","Phytoplankton","Wet",0.388,0.203,0.039,0.784,0.389,0.229,0.536,0.784,0.039
"Striped Mullet","RB10","Epiphytes","Wet",0.53,0.243,0.028,0.928,0.549,0.37,0.718,0.928,0.028
"Striped Mullet","RB10","Floc","Wet",0.06,0.086,0.001,0.315,0.027,0.009,0.074,0.1715,0.001
"Striped Mullet","RB10","Mangrove","Wet",0.111,0.167,0.001,0.647,0.043,0.012,0.13,0.307,0.001
"Striped Mullet","RB10","Phytoplankton","Wet",0.298,0.183,0.028,0.701,0.285,0.146,0.421,0.701,0.028
"Tidewater Mojarra","RB10","Epiphytes","Wet",0.458,0.224,0.032,0.901,0.446,0.303,0.62,0.901,0.032
"Tidewater Mojarra","RB10","Floc","Wet",0.045,0.053,0.001,0.192,0.026,0.009,0.061,0.139,0.001
"Tidewater Mojarra","RB10","Mangrove","Wet",0.106,0.143,0.001,0.528,0.05,0.013,0.14,0.3305,0.001
"Tidewater Mojarra","RB10","Phytoplankton","Wet",0.391,0.195,0.035,0.768,0.398,0.241,0.531,0.768,0.035
"Tidewater Silverside","RB10","Epiphytes","Dry",0.223,0.166,0.014,0.636,0.184,0.097,0.307,0.622,0.014
"Tidewater Silverside","RB10","Floc","Dry",0.071,0.07,0.001,0.255,0.049,0.02,0.102,0.225,0.001
"Tidewater Silverside","RB10","Mangrove","Dry",0.133,0.142,0.001,0.503,0.08,0.022,0.203,0.4745,0.001
"Tidewater Silverside","RB10","Phytoplankton","Dry",0.573,0.185,0.178,0.882,0.588,0.446,0.712,0.882,0.178
"Tidewater Silverside","RB10","Epiphytes","Wet",0.37,0.192,0.033,0.763,0.364,0.225,0.504,0.763,0.033
"Tidewater Silverside","RB10","Floc","Wet",0.049,0.056,0.001,0.203,0.03,0.01,0.068,0.155,0.001
"Tidewater Silverside","RB10","Mangrove","Wet",0.149,0.174,0.001,0.617,0.076,0.018,0.22,0.523,0.001
"Tidewater Silverside","RB10","Phytoplankton","Wet",0.431,0.174,0.118,0.782,0.42,0.309,0.547,0.782,0.118
