"name","type","source","code","mean","sd","lowend","highend","mid","low","up","ymax","ymin"
"Peacock Eel","RB10","Dry Mangrove","Wet",0.159,0.174,0.001,0.618,0.091,0.023,0.242,0.5705,0.001
"Peacock Eel","RB10","Epiphytes","Wet",0.59,0.212,0.147,0.931,0.607,0.432,0.755,0.931,0.147
"Peacock Eel","RB10","Phytoplankton","Wet",0.176,0.139,0.017,0.54,0.139,0.072,0.243,0.4995,0.017
"Peacock Eel","RB10","Wet Mangrove","Wet",0.076,0.118,0,0.435,0.021,0.005,0.092,0.2225,0
"Redear Sunfish","RB10","Dry Mangrove","Dry",0.139,0.146,0.002,0.532,0.085,0.028,0.211,0.4855,0.002
"Redear Sunfish","RB10","Epiphytes","Dry",0.5,0.206,0.1,0.888,0.501,0.356,0.653,0.888,0.1
"Redear Sunfish","RB10","Phytoplankton","Dry",0.312,0.202,0.033,0.795,0.277,0.151,0.437,0.795,0.033
"Redear Sunfish","RB10","Wet Mangrove","Dry",0.048,0.066,0.001,0.238,0.023,0.007,0.059,0.137,0.001
"Redear Sunfish","RB10","Dry Mangrove","Wet",0.123,0.135,0.001,0.488,0.07,0.021,0.185,0.431,0.001
"Redear Sunfish","RB10","Epiphytes","Wet",0.588,0.19,0.181,0.92,0.6,0.462,0.73,0.92,0.181
"Redear Sunfish","RB10","Phytoplankton","Wet",0.239,0.164,0.026,0.66,0.207,0.114,0.329,0.6515,0.026
"Redear Sunfish","RB10","Wet Mangrove","Wet",0.05,0.089,0,0.315,0.016,0.004,0.052,0.124,0
"Redfish","RB10","Dry Mangrove","Wet",0.087,0.098,0.001,0.361,0.052,0.017,0.121,0.277,0.001
"Redfish","RB10","Epiphytes","Wet",0.613,0.176,0.284,0.93,0.61,0.484,0.748,0.93,0.284
"Redfish","RB10","Phytoplankton","Wet",0.26,0.164,0.022,0.601,0.241,0.124,0.372,0.601,0.022
"Redfish","RB10","Wet Mangrove","Wet",0.039,0.06,0,0.221,0.016,0.004,0.047,0.1115,0
"Snook","RB10","Dry Mangrove","Wet",0.134,0.154,0.001,0.561,0.074,0.022,0.191,0.4445,0.001
"Snook","RB10","Epiphytes","Wet",0.58,0.188,0.223,0.923,0.579,0.444,0.723,0.923,0.223
"Snook","RB10","Phytoplankton","Wet",0.221,0.146,0.022,0.561,0.193,0.104,0.314,0.561,0.022
"Snook","RB10","Wet Mangrove","Wet",0.065,0.11,0,0.386,0.019,0.005,0.069,0.165,0
"Spotted Sunfish","RB10","Dry Mangrove","Wet",0.222,0.241,0.001,0.79,0.119,0.026,0.377,0.79,0.001
"Spotted Sunfish","RB10","Epiphytes","Wet",0.409,0.235,0.061,0.891,0.378,0.209,0.579,0.891,0.061
"Spotted Sunfish","RB10","Phytoplankton","Wet",0.316,0.214,0.026,0.813,0.28,0.14,0.442,0.813,0.026
"Spotted Sunfish","RB10","Wet Mangrove","Wet",0.053,0.078,0,0.295,0.02,0.005,0.065,0.155,0
"Spotted Tilapia","RB10","Dry Mangrove","Wet",0.08,0.092,0.001,0.329,0.047,0.016,0.11,0.251,0.001
"Spotted Tilapia","RB10","Epiphytes","Wet",0.512,0.22,0.125,0.928,0.496,0.343,0.677,0.928,0.125
"Spotted Tilapia","RB10","Phytoplankton","Wet",0.371,0.214,0.027,0.784,0.372,0.192,0.537,0.784,0.027
"Spotted Tilapia","RB10","Wet Mangrove","Wet",0.037,0.055,0,0.196,0.015,0.004,0.047,0.1115,0
"Striped Mullet","RB10","Dry Mangrove","Wet",0.075,0.092,0.001,0.31,0.043,0.015,0.101,0.23,0.001
"Striped Mullet","RB10","Epiphytes","Wet",0.62,0.182,0.254,0.938,0.623,0.49,0.755,0.938,0.254
