SITENAME,DATE,YEAR,MONTH,TN_uM_L,TN_moles_L,TN_g_L,TN_ug_L,TP_uM_L,TP_moles_L,TP_g_L,TP_ug_L,NP
TSph3,10/17/18,2018,October,58.58,0.00,0.00,820.49,0.27,0.00,0.00,8.36,98.11
TSph7,10/19/18,2018,October,0.01,0.00,0.00,0.14,0.01,0.00,0.00,0.31,0.45
TSph7,10/22/18,2018,October,64.32,0.00,0.00,900.89,0.40,0.00,0.00,12.39,72.71
TSph3,10/23/18,2018,October,57.86,0.00,0.00,810.49,0.24,0.00,0.00,7.43,109.03
TSph7,10/25/18,2018,October,62.54,0.00,0.00,876.04,0.36,0.00,0.00,11.15,78.56
TSph7,10/28/18,2018,October,59.03,0.00,0.00,826.88,0.36,0.00,0.00,11.15,74.15
TSph10,10/29/18,2018,October,48.86,0.00,0.00,684.34,0.23,0.00,0.00,7.03,97.33
TSph11,10/29/18,2018,October,52.34,0.00,0.00,733.10,0.98,0.00,0.00,30.32,24.18
TSph3,10/29/18,2018,October,65.99,0.00,0.00,924.36,0.23,0.00,0.00,7.12,129.75
TSph9,10/29/18,2018,October,51.59,0.00,0.00,722.62,0.20,0.00,0.00,6.32,114.36
TSph7,10/31/18,2018,October,61.38,0.00,0.00,859.78,0.36,0.00,0.00,11.15,77.11
TSph7,11/3/18,2018,November,59.76,0.00,0.00,837.04,0.38,0.00,0.00,11.77,71.12
TSph3,11/4/18,2018,November,59.99,0.00,0.00,840.31,0.26,0.00,0.00,8.05,104.34
TSph7,11/6/18,2018,November,58.96,0.00,0.00,825.91,0.37,0.00,0.00,11.46,72.07
TSph7,11/9/18,2018,November,62.64,0.00,0.00,877.43,0.35,0.00,0.00,10.84,80.94
TSph7,11/12/18,2018,November,60.83,0.00,0.00,852.09,0.44,0.00,0.00,13.63,62.52
TSph7,11/15/18,2018,November,68.61,0.00,0.00,961.05,0.56,0.00,0.00,17.35,55.41
TSph7,11/18/18,2018,November,62.48,0.00,0.00,875.16,0.55,0.00,0.00,17.04,51.37
TSph10,11/19/18,2018,November,47.04,0.00,0.00,658.83,0.29,0.00,0.00,8.92,73.86
TSph11,11/19/18,2018,November,31.39,0.00,0.00,439.67,0.56,0.00,0.00,17.28,25.44
TSph3,11/19/18,2018,November,64.91,0.00,0.00,909.24,0.40,0.00,0.00,12.39,73.39
