SITENAME	DATE	SALINTY	TN	TP
Oyster Bay	5/8/95		54.78	0.78
Ponce de Leon Bay	5/8/95		38.82	0.49
Tarpon Bay	5/8/95		104.85	0.72
Joe Bay	5/23/95		63.59	0.21
Little Madeira Bay	5/23/95		61.34	0.17
TSph10	5/23/95		96.32	0.21
TSph11	5/23/95		18.72	0.24
TSph9	5/23/95		46.42	0.14
Gunboat Isla-9999	6/13/95		74.15	0.88
Oyster Bay	6/13/95		53.74	1.02
Ponce de Leon Bay	6/13/95		46.76	0.75
Tarpon Bay	6/13/95		76.67	1.08
Joe Bay	6/20/95		78.9	0.41
Little Madeira Bay	6/20/95		59.01	0.3
TSph10	6/20/95		73.56	0.34
TSph11	6/20/95		22.84	0.76
TSph9	6/20/95		48.69	0.26
Gunboat Isla-9999	7/11/95		67.651	1.165
Joe Bay	7/11/95		64.601	0.513
Little Madeira Bay	7/11/95		53.39	0.255
Oyster Bay	7/11/95		48.845	1.03
Ponce de Leon Bay	7/11/95		48.545	1.415
Tarpon Bay	7/11/95		63.82	1.063
TSph10	7/11/95		89.115	0.64
TSph11	7/11/95		14.897	0.32
TSph9	7/11/95		49.526	0.228
Gunboat Isla-9999	8/10/95		54.363	0.733
Joe Bay	8/10/95		66.268	0.47
Little Madeira Bay	8/10/95		67.735	0.353
Oyster Bay	8/10/95		48.762	0.615
Ponce de Leon Bay	8/10/95		42.968	0.663
Tarpon Bay	8/10/95		60.534	0.713
TSph10	8/10/95		78.219	0.22
TSph11	8/10/95		16.642	0.268
TSph9	8/10/95		56.906	0.29
Gunboat Isla-9999	9/7/95		52.468	0.49
Joe Bay	9/7/95		53.585	0.578
Little Madeira Bay	9/7/95		65.205	0.353
Oyster Bay	9/7/95		41.256	0.965
Ponce de Leon Bay	9/7/95		39.165	0.718
Tarpon Bay	9/7/95		52.572	0.593
TSph10	9/7/95		62.301	0.363
TSph11	9/7/95		15.505	0.275
TSph9	9/7/95		51.41	0.318
Gunboat Isla-9999	10/19/95		54.255	0.393
Joe Bay	10/19/95		52.94	0.75
Little Madeira Bay	10/19/95		47.362	0.393
Oyster Bay	10/19/95		44.049	1.003
Ponce de Leon Bay	10/19/95		47.769	1.11
Tarpon Bay	10/19/95		53.214	0.375
TSph10	10/19/95		59.308	0.218
TSph11	10/19/95		18.908	0.185
TSph9	10/19/95		53.441	0.27
Gunboat Isla-9999	11/16/95		62.556	0.563
Joe Bay	11/16/95		66.95	0.508
Little Madeira Bay	11/16/95		54.144	0.34
Oyster Bay	11/16/95		45.334	0.958
Ponce de Leon Bay	11/16/95		35.745	0.628
Tarpon Bay	11/16/95		59.366	0.618
TSph10	11/16/95		58.997	0.333
TSph11	11/16/95		29.055	0.393
TSph9	11/16/95		47.702	0.203
Gunboat Isla-9999	12/13/95		61.149	0.873
Joe Bay	12/13/95		65.272	0.513
Little Madeira Bay	12/13/95		55.523	0.33
Oyster Bay	12/13/95		41.336	0.778
Ponce de Leon Bay	12/13/95		41.155	0.728
Tarpon Bay	12/13/95		62.644	0.933
TSph10	12/13/95		60.577	0.328
TSph11	12/13/95		24.554	0.383
TSph9	12/13/95		48.519	0.255
Gunboat Isla-9999	1/15/96		81.04	0.285
Ponce de Leon Bay	1/15/96		45.599	0.35
Tarpon Bay	1/15/96		78.026	0.28
Oyster Bay	1/16/96		45.862	0.405
TSph10	1/23/96		72.018	0.413
TSph11	1/23/96		13.197	0.403
Joe Bay	1/24/96		62.48	0.558
Little Madeira Bay	1/24/96		50.973	0.335
TSph9	1/24/96		52.517	0.273
Oyster Bay	2/5/96		44.367	1.07
Gunboat Isla-9999	2/6/96		90.341	0.51
Ponce de Leon Bay	2/6/96		46.531	0.465
Tarpon Bay	2/6/96		98.383	0.398
TSph10	2/12/96		72.262	0.288
TSph11	2/12/96		18.579	0.578
Joe Bay	2/14/96		62.719	0.438
Little Madeira Bay	2/14/96		51.874	0.265
TSph9	2/14/96		50.429	0.19
Ponce de Leon Bay	3/4/96		40.082	0.573
Gunboat Isla-9999	3/5/96		91.637	0.833
Oyster Bay	3/5/96		51.793	1.188
Tarpon Bay	3/5/96		106.551	1.148
Joe Bay	3/21/96		56.726	0.303
Little Madeira Bay	3/21/96		70.431	0.243
TSph9	3/21/96		54.327	0.248
TSph10	3/22/96		49.352	0.348
TSph11	3/22/96		8.961	0.385
Gunboat Isla-9999	4/16/96		42.432	0.485
Ponce de Leon Bay	4/16/96		44.154	0.678
Tarpon Bay	4/16/96		78.957	0.72
Oyster Bay	4/17/96		31.974	0.38
Joe Bay	4/24/96		64.557	0.535
Little Madeira Bay	4/24/96		55.915	0.368
TSph9	4/24/96		46.428	0.228
TSph10	4/25/96		59.162	0.27
TSph11	4/25/96		15.505	0.45
Joe Bay	5/9/96		76.462	0.623
Little Madeira Bay	5/9/96		65.917	0.263
TSph9	5/9/96		50.892	0.195
TSph10	5/10/96		45.019	0.16
TSph11	5/10/96		19.083	0.243
Gunboat Isla-9999	5/21/96		44.009	0.743
Ponce de Leon Bay	5/21/96		30.805	0.655
Tarpon Bay	5/21/96		67.195	0.775
Oyster Bay	5/22/96		30.616	0.615
TSph10	6/6/96		79.162	0.228
TSph11	6/6/96		27.515	0.343
Joe Bay	6/7/96		107.217	0.398
Little Madeira Bay	6/7/96		71.855	0.185
TSph9	6/7/96		48.697	0.138
Gunboat Isla-9999	6/18/96		54.238	0.575
Ponce de Leon Bay	6/18/96		33.863	0.525
Tarpon Bay	6/18/96		67.238	0.48
Oyster Bay	6/19/96		36.014	0.615
Joe Bay	7/4/96		60.848	0.528
Little Madeira Bay	7/4/96		57.342	0.255
TSph9	7/4/96		48.605	0.305
TSph10	7/5/96		84.545	0.228
TSph11	7/5/96		12.483	0.233
Oyster Bay	7/16/96		63.919	1.398
Gunboat Isla-9999	7/17/96		61.6	0.418
Ponce de Leon Bay	7/17/96		64.282	0.98
Tarpon Bay	7/17/96		61.654	0.43
Gunboat Isla-9999	8/15/96		66.139	0.563
Ponce de Leon Bay	8/15/96		34.958	0.363
Tarpon Bay	8/15/96		79.469	0.435
Oyster Bay	8/16/96		41.584	0.588
Joe Bay	8/21/96		66.345	0.525
Little Madeira Bay	8/21/96		69.219	0.295
TSph9	8/21/96		56.509	0.168
TSph10	8/22/96		81.448	0.183
TSph11	8/22/96		22.382	0.375
Joe Bay	9/13/96		73.24	0.333
Little Madeira Bay	9/13/96		71.123	0.245
TSph9	9/13/96		66.273	0.225
TSph10	9/14/96		125.753	0.643
TSph11	9/14/96		19.56	0.315
Oyster Bay	9/18/96		44.103	0.418
Gunboat Isla-9999	9/19/96		72.069	0.42
Ponce de Leon Bay	9/19/96		41.166	0.518
Tarpon Bay	9/19/96		73.725	0.38
Joe Bay	10/14/96		54.746	0.315
TSph9	10/14/96		54.35	0.2
Little Madeira Bay	10/15/96		77.461	0.255
TSph10	10/15/96		90.45	0.353
TSph11	10/15/96		21.439	0.418
Oyster Bay	10/22/96		45.415	0.475
Gunboat Isla-9999	10/23/96		60.883	0.59
Ponce de Leon Bay	10/23/96		39.223	0.475
Tarpon Bay	10/23/96		73.237	0.483
Little Madeira Bay	11/7/96		52.047	0.24
TSph11	11/7/96		27.956	0.293
Joe Bay	11/8/96		48.897	0.37
TSph10	11/8/96		38.418	0.153
TSph9	11/8/96		44.893	0.13
Oyster Bay	11/21/96		31.325	0.463
Gunboat Isla-9999	11/22/96		44.54	0.428
Ponce de Leon Bay	11/22/96		30.52	0.57
Tarpon Bay	11/22/96		73.149	0.423
Joe Bay	12/5/96		53.918	0.378
Little Madeira Bay	12/5/96		53.33	0.253
TSph9	12/5/96		44.089	0.16
TSph10	12/6/96		48.363	0.138
TSph11	12/6/96		37.423	0.49
Oyster Bay	1/2/97		41.333	0.175
Ponce de Leon Bay	1/2/97		31.732	0.178
Gunboat Isla-9999	1/3/97		74.268	0.355
Tarpon Bay	1/3/97		87.406	0.408
Joe Bay	1/7/97		37.353	0.283
Little Madeira Bay	1/7/97		36.772	0.178
