SITENAME	DATE	SALINTY	TN	TP
TSph11	12/15/08		10.01	0.28
TSph9	12/15/08		24.082	0.168
TSph10	1/13/09		8.111	0.204
TSph11	1/13/09		2.533	0.27
TSph9	1/13/09		21.391	0.18
TSph10	2/18/09		36.126	0.232
TSph11	2/18/09		17.021	0.279
TSph9	2/18/09		26.374	0.227
TSph10	3/16/09		21.323	0.138
TSph11	3/16/09		11.513	0.23
TSph9	3/16/09		16.693	0.145
TSph10	4/16/09		38.189	0.225
TSph11	4/16/09		18.562	0.44
TSph9	4/16/09		40.299	0.145
TSph10	5/19/09		10.633	0.138
TSph11	5/19/09		7.492	0.51
TSph9	5/19/09		21.433	0.16
TSph10	6/15/09		75.549	0.325
TSph11	6/15/09		24.858	0.574
TSph9	6/15/09		63.277	0.282
TSph10	7/21/09		59.044	0.293
TSph11	7/21/09		28.826	0.62
TSph9	7/21/09		72.726	0.2
TSph10	8/6/09		30.007	0.205
TSph11	8/6/09		13.555	0.343
TSph9	8/6/09		13.075	0.136
TSph10	9/15/09		26.845	0.206
TSph11	9/15/09		17.997	0.299
TSph9	9/15/09		30.916	0.166
TSph10	10/29/09		51.693	0.394
TSph11	10/29/09		29.193	0.719
TSph9	10/29/09		45.752	0.31
TSph10	11/23/09		49.041	0.152
TSph11	11/23/09		50.765	0.244
TSph9	11/23/09		52.408	0.173
TSph10	12/14/09		81.948	0.143
TSph11	12/14/09		33.623	0.264
TSph9	12/14/09		69.918	0.209
TSph10	1/21/10		7.037	0.182
TSph11	1/21/10		5.667	0.467
TSph9	1/21/10		8.123	0.193
TSph10	2/23/10		13.146	0.169
TSph11	2/23/10		7.808	0.339
TSph9	2/23/10		24.455	0.11
TSph10	3/24/10		42	0.235
TSph11	3/24/10		22.877	0.293
TSph9	3/24/10		64.02	0.238
TSph10	4/21/10		49.617	0.175
TSph11	4/21/10		37.438	0.31
TSph9	4/21/10		66.438	0.158
TSph10	5/17/10		36.055	0.181
TSph11	5/17/10		18.599	0.257
TSph9	5/17/10		40.93	0.18
TSph10	6/14/10		109.623	0.343
TSph11	6/14/10		42.451	0.267
TSph9	6/14/10		94.391	0.123
TSph10	7/27/10		143.561	0.303
TSph11	7/27/10		95.212	0.287
TSph9	7/27/10		208.005	0.181
TSph10	8/26/10		79.693	0.209
TSph11	8/26/10		30.8	0.269
TSph9	8/26/10		61.958	0.101
TSph10	9/14/10		72.998	0.26
TSph11	9/14/10		42.994	0.282
TSph9	9/14/10		80.254	0.242
TSph10	10/25/10		25.8	0.083
TSph11	10/25/10		24.069	0.233
TSph9	10/25/10		26.656	0.087
TSph10	11/15/10		24.249	0.11
TSph11	11/15/10		15.242	0.23
TSph9	11/15/10		24.775	0.138
TSph10	12/15/10		56.824	0.127
TSph11	12/15/10		24.536	0.476
TSph9	12/15/10		46.988	0.135
TSph10	1/24/11		56.35	0.094
TSph11	1/24/11		18.149	0.245
TSph9	1/24/11		41.118	0.077
TSph10	2/16/11		73.04	0.154
TSph11	2/16/11		23.205	0.268
TSph9	2/16/11		54.056	0.083
TSph10	3/10/11		46.693	0.165
TSph11	3/10/11		23.113	0.212
TSph9	3/10/11		40.424	0.113
TSph10	4/27/11		38.78	0.172
TSph11	4/27/11		27.463	0.411
TSph9	4/27/11		60.09	0.184
TSph10	5/11/11		50.77	0.115
TSph11	5/11/11		20.574	0.167
TSph9	5/11/11		48.118	0.136
TSph10	6/14/11		25.423	0.133
TSph11	6/14/11		28.533	0.267
TSph9	6/14/11		46.538	0.212
TSph10	7/20/11		63.641	0.219
TSph11	7/20/11		15.55	0.223
TSph9	7/20/11		50.489	0.143
TSph10	8/3/11		55.627	0.138
TSph11	8/3/11		22.981	0.216
TSph9	8/3/11		49.458	0.099
TSph10	9/12/11		74.168	0.196
TSph11	9/12/11		17.66	0.208
TSph9	9/12/11		40.27	0.123
TSph10	10/31/11		54.227	0.122
TSph11	10/31/11		32.064	0.169
TSph9	10/31/11		67.301	0.166
TSph10	11/16/11		45.274	0.192
TSph11	11/16/11		29.536	0.183
TSph9	11/16/11		53.702	0.876
TSph10	12/12/11		41.623	0.14
TSph11	12/12/11		38.531	0.241
TSph9	12/12/11		43.942	0.123
TSph10	1/25/12		54.033	0.136
TSph11	1/25/12		19.498	0.279
TSph9	1/25/12		44.968	0.166
TSph10	2/22/12		47.678	0.108
TSph11	2/22/12		24.969	0.177
TSph9	2/22/12		45.279	0.091
TSph10	3/27/12		21.465	0.155
TSph11	3/27/12		28.344	0.189
TSph9	3/27/12		31.493	0.211
TSph10	4/24/12		37.519	0.257
TSph11	4/24/12		24.212	0.754
TSph9	4/24/12		40.004	0.223
TSph10	5/15/12		28.039	0.149
TSph11	5/15/12		32.381	0.259
TSph9	5/15/12		44.731	0.183
TSph10	6/28/12		55.015	0.204
TSph11	6/28/12		17.627	0.237
TSph9	6/28/12		40.155	0.17
TSph10	7/25/12		60.406	0.128
TSph11	7/25/12		21.27	0.176
TSph9	7/25/12		32.895	0.168
TSph10	8/30/12		39.574	0.211
TSph11	8/30/12		15.888	0.213
TSph9	8/30/12		45.224	0.169
TSph10	9/11/12		63.578	0.254
TSph11	9/11/12		12.416	0.336
TSph9	9/11/12		39.602	0.183
TSph10	10/22/12		47.5	0.225
TSph11	10/22/12		9.29	0.217
TSph9	10/22/12		29.66	0.189
TSph10	11/25/12		42.113	0.331
TSph11	11/25/12		14.744	0.365
TSph9	11/25/12		35.96	0.236
TSph10	12/20/12		31.047	0.238
TSph11	12/20/12		15.212	0.368
TSph9	12/20/12		26.469	0.22
TSph10	1/15/13		23.035	0.205
TSph11	1/15/13		16.81	0.248
TSph9	1/15/13		26.147	0.166
TSph10	2/20/13		33.578	0.139
TSph11	2/20/13		25.878	0.288
TSph9	2/20/13		13.517	0.162
TSph10	3/19/13		41.288	0.149
TSph11	3/19/13		14.971	0.243
TSph9	3/19/13		26.922	0.122
TSph10	4/24/13		25.747	0.116
TSph11	4/24/13		14.636	0.199
TSph9	4/24/13		30.964	0.165
TSph10	5/23/13		24.361	0.129
TSph11	5/23/13		20.875	0.28
TSph9	5/23/13		30.293	0.167
TSph10	6/26/13		29.364	0.195
TSph11	6/26/13		27.454	0.249
TSph9	6/26/13		37.204	0.111
TSph10	7/24/13		34.22	0.135
TSph11	7/24/13		20.713	0.237
TSph9	7/24/13		35.058	0.122
TSph10	8/12/13		37.673	0.148
TSph11	8/12/13		20.286	0.306
TSph9	8/12/13		33.135	0.166
TSph10	9/29/13		40.435	0.159
TSph11	9/29/13		17.312	0.426
TSph9	9/29/13		31.772	0.126
TSph10	10/28/13		34.348	0.085
TSph11	10/28/13		77.502	0.957
TSph9	10/28/13		31.579	0.084
TSph10	11/20/13		19.523	0.052
TSph11	11/20/13		27.811	0.145
TSph9	11/20/13		29.831	0.048
TSph10	12/16/13		24.283	0.186
TSph11	12/16/13		22.657	0.314
TSph9	12/16/13		37.239	0.344
TSph10	1/27/14		24.311	0.551
TSph11	1/27/14		8.347	1.058
TSph9	1/27/14		22.372	0.443
TSph10	2/26/14		27.178	0.211
TSph11	2/26/14		11.242	0.294
TSph9	2/26/14		22.649	0.238
TSph10	3/30/14		30.803	0.442
TSph11	3/30/14		9.617	0.438
TSph9	3/30/14		27.363	0.322
TSph10	4/16/14		30.259	0.327
TSph11	4/16/14		7.595	0.445
TSph9	4/16/14		24.34	0.226
TSph10	5/29/14		20.69	0.208
TSph11	5/29/14		20.39	0.338
TSph9	5/29/14		30.714	0.266
TSph10	6/24/14		21.615	0.183
TSph11	6/24/14		12.424	0.384
TSph9	6/24/14		27.638	0.147
TSph10	7/31/14		37.653	0.334
TSph11	7/31/14		31.472	0.618
TSph9	7/31/14		26.166	0.577
TSph10	8/11/14		49.113	0.226
TSph11	8/11/14		15.203	0.37
TSph9	8/11/14		35.731	0.185
TSph10	9/29/14		36.024	0.04
TSph11	9/29/14		27.46	0.07
TSph9	9/29/14		39.142	0.033
TSph10	10/30/14		43.952	0.166
TSph11	10/30/14		16.948	0.327
TSph9	10/30/14		39.199	0.11
TSph10	11/24/14		32.072	0.141
TSph11	11/24/14		22.719	0.22
TSph9	11/24/14		46.394	0.174
TSph10	12/17/14		51.478	0.114
TSph11	12/17/14		20.271	0.201
TSph9	12/17/14		47.603	0.606
TSph10	1/22/15		31.088	0.114
TSph11	1/22/15		12.977	0.171
TSph9	1/22/15		38.59	0.23
TSph10	2/26/15		36.7	0.26
TSph11	2/26/15		12.053	0.354
TSph9	2/26/15		27.967	0.347
TSph10	3/31/15		61.468	0.215
TSph11	3/31/15		25.403	0.324
TSph9	3/31/15		46.435	0.191
TSph10	4/20/15		32.539	0.216
TSph11	4/20/15		22.945	0.303
TSph9	4/20/15		41.892	0.17
TSph10	5/28/15		30.558	0.134
TSph11	5/28/15		16.127	0.209
TSph9	5/28/15		38.528	0.168
TSph10	6/29/15		22.672	0.284
TSph11	6/29/15		18.408	0.367
TSph9	6/29/15		22.566	0.123
TSph10	7/28/15		21.738	0.22
TSph11	7/28/15		8.22	0.401
TSph9	7/28/15		33.027	0.188
TSph10	8/10/15		28.17	0.303
TSph11	8/10/15		10.101	0.36
TSph9	8/10/15		22.709	0.232
TSph10	9/22/15		56.492	0.224
TSph11	9/22/15		19.582	0.259
TSph9	9/22/15		41.559	0.127
TSph10	10/28/15		32.659	0.155
TSph11	10/28/15		40.157	0.357
TSph9	10/28/15		41.969	0.135
TSph10	11/19/15		35.598	0.15
TSph11	11/19/15		13.881	0.155
TSph9	11/19/15		49.523	0.144
TSph10	12/17/15		37.45	0.137
TSph11	12/17/15		21.961	0.298
TSph9	12/17/15		45.841	0.122
TSph10	1/26/16		55.48	0.2
TSph11	1/26/16		16.578	0.441
TSph9	1/26/16		47.111	0.155
TSph10	2/18/16		54.248	0.298
TSph11	2/18/16		18.257	0.273
TSph9	2/18/16		42.461	0.234
TSph9	3/30/16		39.923	0.385
TSph10	3/30/16		51.714	0.391
TSph11	3/30/16		18.35	0.413
TSph9	4/26/16		31.857	0.38
TSph10	4/26/16		31.026	0.074
TSph11	4/26/16		27.341	0.281
TSph9	5/1/16		39.303	0.185
TSph10	5/1/16		50.453	0.254
TSph11	5/1/16		15.004	0.348
TSph9	6/29/16		43.029	0.196
TSph10	6/29/16		65.096	0.32
TSph11	6/29/16		16.519	0.327
TSph9	7/21/16		36.342	0.355
TSph10	7/21/16		32.848	0.172
TSph11	7/21/16		15.844	0.331
TSph9	8/23/16		41.222	0.146
TSph10	8/23/16		38.504	0.176
TSph11	8/23/16		22.785	0.308
TSph11	9/26/16		24.978	0.241
TSph10	9/26/16		86.398	0.255
TSph9	9/26/16		51.764	0.133
TSph9	10/24/16		32.751	0.098
TSph10	10/24/16		39.01	0.056
TSph11	10/24/16		15.782	0.107
TSph9	11/28/16		28.573	0.461
TSph10	11/28/16		33.726	0.406
TSph11	11/28/16		18.324	0.74
TSph9	12/12/16		31.311	0.125
TSph10	12/12/16		27.984	0.135
TSph11	12/12/16		71.133	1.275
TSph9	1/26/17		44.825	0.275
TSph10	1/26/17		78.347	0.379
TSph11	1/26/17		15.506	0.305
TSph9	2/28/17		39.212	0.209
TSph10	2/28/17		67.485	0.427
TSph11	2/28/17		17.52	0.257
TSph9	3/16/17		37.445	0.318
TSph10	3/16/17		61.027	0.301
TSph11	3/16/17		20.771	0.277
TSph9	4/24/17		34.661	0.123
TSph10	4/24/17		19.314	0.143
TSph11	4/24/17		11.659	0.166
TSph9	5/26/17		38.847	0.177
TSph10	5/26/17		27.194	0.213
TSph11	5/26/17		22.623	0.3
TSph9	6/26/17		39.883	0.191
TSph10	6/26/17		29.77	0.154
TSph11	6/26/17		19.728	0.229
TSph9	7/24/17		38.242	0.177
TSph10	7/24/17		46.101	0.218
TSph11	7/24/17		28.566	0.403
TSph9	8/7/17		45.395	0.225
TSph10	8/7/17		53.625	0.233
TSph11	8/7/17		23.245	0.303
TSph9	9/25/17		64.38	0.777
TSph10	9/25/17		50.269	0.409
TSph11	9/25/17		20.071	0.483
TSph9	10/26/17		66.002	0.575
TSph10	10/26/17		50.104	0.434
TSph11	10/26/17		57.884	1.064
TSph9	11/30/17		51.353	0.419
TSph10	11/30/17		41.933	0.355
TSph11	11/30/17		20.837	0.509
TSph9	12/14/17		84.074	0.53
TSph10	12/14/17		86.165	0.565
TSph11	12/14/17		44.094	0.502
TSph9	1/25/18		45.972	0.502
TSph10	1/25/18		50.458	0.453
TSph11	1/25/18		22.756	0.43
TSph9	2/27/18		47.559	0.327
TSph10	2/27/18		36.191	0.288
TSph11	2/27/18		35.077	0.361
TSph9	3/26/18		53.69	0.36
TSph10	3/26/18		63.005	0.63
TSph11	3/26/18		28.388	0.447
TSph9	4/26/18		45.983	0.282
TSph10	4/26/18		63.935	0.491
TSph11	4/26/18		18.97	0.361
TSph9	5/30/18		54.297	0.482
TSph10	5/30/18		49.449	0.327
TSph11	5/30/18		25.304	0.434
TSph9	6/19/18		53.174	0.364
TSph10	6/19/18		64.331	0.405
TSph11	6/19/18		16.918	0.409
TSph9	7/31/18		52.018	0.29
TSph10	7/31/18		60.759	0.367
TSph11	7/31/18		18.834	0.409
TSph9	8/6/18		85.467	0.324
TSph10	8/6/18		77.815	0.337
TSph11	8/6/18		40.274	0.33
TSph9	9/26/18		58.426	0.209
TSph10	9/26/18		84.505	0.322
TSph11	9/26/18		21.241	0.381
TSph9	10/29/18		51.59	0.204
TSph10	10/29/18		48.857	0.227
TSph11	10/29/18		52.338	0.979
TSph9	11/19/18		57.63	0.345
TSph10	11/19/18		47.036	0.288
TSph11	11/19/18		31.389	0.558
TSph9	12/17/18		58.726	0.308
TSph10	12/17/18		76.866	0.594
TSph11	12/17/18		47.663	0.546
TSph9	1/29/19		59.705	0.305
TSph10	1/29/19		72.167	0.304
TSph11	1/29/19		23.4	0.375
TSph9	3/6/19		63.616	0.236
TSph10	3/6/19		73.771	0.264
TSph11	3/6/19		24.913	0.35
TSph9	3/21/19		43.459	0.213
TSph10	3/21/19		22.108	0.232
TSph11	3/21/19		42.852	0.44
TSph9	4/25/19		43.12	0.24
TSph10	4/25/19		48.741	0.273
TSph11	4/25/19		20.747	0.484
TSph9	5/30/19		39.304	0.399
TSph10	5/30/19		26.975	0.072
TSph11	5/30/19		29.959	0.414
TSph9	6/24/19		55.476	0.394
TSph10	6/24/19		70.238	0.534
TSph11	6/24/19		14.762	0.578
TSph9	7/22/19		56.667	0.208
TSph10	7/22/19		65.476	0.366
TSph11	7/22/19		26.667	0.284
TSph9	8/28/19		48.095	0.241
TSph10	8/28/19		73.81	0.431
TSph11	8/28/19		12.143	0.325
TSph9	9/29/19		52.143	0.218
TSph10	9/29/19		36.19	0.195
TSph11	9/29/19		36.905	0.378
TSph9	10/17/19		50	0.202
TSph10	10/17/19		30.714	0.199
TSph11	10/17/19		48.571	0.572
TSph9	11/12/19		50.714	0.232
TSph10	11/12/19		11.429	0.182
TSph11	11/12/19		12.143	0.24
TSph9	12/10/19		43.571	0.561
TSph10	12/10/19		57.857	0.218
TSph11	12/10/19		22.857	0.319
