SITENAME,DATE,YEAR,MONTH,TN_uM_L,TN_moles_L,TN_g_L,TN_ug_L,TP_uM_L,TP_moles_L,TP_g_L,TP_ug_L,NP
TSph10,1/21/04,2004,January,41.24,0.00,0.00,577.70,0.13,0.00,0.00,4.12,140.24
TSph11,1/21/04,2004,January,23.58,0.00,0.00,330.22,0.24,0.00,0.00,7.46,44.24
TSph3,1/22/04,2004,January,33.60,0.00,0.00,470.59,0.10,0.00,0.00,3.10,151.93
TSph9,1/22/04,2004,January,28.28,0.00,0.00,396.12,0.13,0.00,0.00,4.00,99.14
TSph7,1/22/04,2004,January,29.23,0.00,0.00,409.41,0.16,0.00,0.00,4.96,82.61
TSph7,1/25/04,2004,January,31.40,0.00,0.00,439.82,0.20,0.00,0.00,6.19,71.00
TSph7,1/27/04,2004,January,25.51,0.00,0.00,357.35,0.28,0.00,0.00,8.67,41.20
TSph7,1/30/04,2004,January,49.83,0.00,0.00,697.91,0.14,0.00,0.00,4.34,160.94
TSph7,2/2/04,2004,February,46.29,0.00,0.00,648.36,0.14,0.00,0.00,4.34,149.52
TSph7,2/5/04,2004,February,35.73,0.00,0.00,500.41,0.12,0.00,0.00,3.72,134.63
TSph7,2/8/04,2004,February,34.07,0.00,0.00,477.25,0.16,0.00,0.00,4.96,96.30
TSph7,2/11/04,2004,February,32.68,0.00,0.00,457.75,0.15,0.00,0.00,4.65,98.52
TSph7,2/14/04,2004,February,25.30,0.00,0.00,354.41,0.15,0.00,0.00,4.65,76.28
TSph7,2/17/04,2004,February,0.01,0.00,0.00,0.14,0.18,0.00,0.00,5.58,0.03
TSph7,2/19/04,2004,February,29.51,0.00,0.00,413.33,0.20,0.00,0.00,6.19,66.72
TSph7,2/22/04,2004,February,37.37,0.00,0.00,523.40,0.12,0.00,0.00,3.72,140.82
TSph10,2/24/04,2004,February,50.36,0.00,0.00,705.42,0.11,0.00,0.00,3.41,207.04
TSph11,2/24/04,2004,February,38.81,0.00,0.00,543.64,0.20,0.00,0.00,6.23,87.32
TSph9,2/25/04,2004,February,43.31,0.00,0.00,606.63,0.12,0.00,0.00,3.69,164.58
TSph7,2/25/04,2004,February,68.89,0.00,0.00,964.97,0.17,0.00,0.00,5.27,183.26
TSph7,2/28/04,2004,February,43.90,0.00,0.00,614.94,0.16,0.00,0.00,4.96,124.08
TSph7,3/5/04,2004,March,72.39,0.00,0.00,1013.99,0.14,0.00,0.00,4.34,233.84
TSph7,3/8/04,2004,March,60.68,0.00,0.00,849.96,0.12,0.00,0.00,3.72,228.68
TSph7,3/11/04,2004,March,43.22,0.00,0.00,605.31,0.12,0.00,0.00,3.72,162.86
TSph7,3/14/04,2004,March,41.03,0.00,0.00,574.69,0.13,0.00,0.00,4.03,142.72
TSph7,3/17/04,2004,March,38.08,0.00,0.00,533.34,0.12,0.00,0.00,3.72,143.49
TSph7,3/20/04,2004,March,38.16,0.00,0.00,534.55,0.18,0.00,0.00,5.58,95.88
TSph7,3/23/04,2004,March,37.37,0.00,0.00,523.50,0.23,0.00,0.00,7.12,73.48
TSph10,3/23/04,2004,March,47.70,0.00,0.00,668.16,0.24,0.00,0.00,7.37,90.64
TSph11,3/23/04,2004,March,56.77,0.00,0.00,795.18,0.26,0.00,0.00,8.18,97.24
TSph7,3/26/04,2004,March,30.79,0.00,0.00,431.22,0.31,0.00,0.00,9.60,44.91
TSph7,3/29/04,2004,March,32.39,0.00,0.00,453.64,0.27,0.00,0.00,8.36,54.24
TSph9,3/29/04,2004,March,39.90,0.00,0.00,558.82,0.38,0.00,0.00,11.68,47.86
TSph7,3/30/04,2004,March,30.34,0.00,0.00,424.97,0.30,0.00,0.00,9.29,45.73
TSph7,4/5/04,2004,April,44.56,0.00,0.00,624.11,0.31,0.00,0.00,9.60,65.00
TSph7,4/8/04,2004,April,32.30,0.00,0.00,452.36,0.17,0.00,0.00,5.27,85.91
TSph7,4/11/04,2004,April,29.82,0.00,0.00,417.66,0.15,0.00,0.00,4.65,89.89
TSph7,4/14/04,2004,April,31.93,0.00,0.00,447.26,0.22,0.00,0.00,6.81,65.64
TSph7,4/17/04,2004,April,30.04,0.00,0.00,420.70,0.94,0.00,0.00,29.12,14.45
TSph10,4/21/04,2004,April,63.84,0.00,0.00,894.15,0.13,0.00,0.00,4.03,222.06
TSph11,4/21/04,2004,April,41.50,0.00,0.00,581.33,0.28,0.00,0.00,8.52,68.25
TSph9,4/22/04,2004,April,51.46,0.00,0.00,720.76,0.14,0.00,0.00,4.18,172.37
TSph7,4/23/04,2004,April,57.99,0.00,0.00,812.32,0.22,0.00,0.00,6.81,119.21
TSph7,4/26/04,2004,April,39.74,0.00,0.00,556.57,0.18,0.00,0.00,5.58,99.83
TSph7,4/29/04,2004,April,40.62,0.00,0.00,568.95,0.25,0.00,0.00,7.74,73.47
TSph7,5/2/04,2004,May,31.31,0.00,0.00,438.56,0.21,0.00,0.00,6.50,67.42
TSph7,5/5/04,2004,May,31.29,0.00,0.00,438.21,0.23,0.00,0.00,7.12,61.51
TSph7,5/8/04,2004,May,31.27,0.00,0.00,437.93,0.73,0.00,0.00,22.61,19.37
TSph7,5/11/04,2004,May,25.55,0.00,0.00,357.88,0.44,0.00,0.00,13.63,26.26
TSph7,5/14/04,2004,May,107.10,0.00,0.00,1500.18,0.21,0.00,0.00,6.50,230.64
TSph7,5/17/04,2004,May,90.33,0.00,0.00,1265.21,0.16,0.00,0.00,4.96,255.30
TSph9,5/20/04,2004,May,30.55,0.00,0.00,427.96,0.13,0.00,0.00,4.09,104.67
TSph7,5/20/04,2004,May,106.95,0.00,0.00,1498.01,0.24,0.00,0.00,7.43,201.51
TSph10,5/21/04,2004,May,28.59,0.00,0.00,400.50,0.07,0.00,0.00,2.29,174.73
TSph11,5/21/04,2004,May,29.44,0.00,0.00,412.42,0.15,0.00,0.00,4.71,87.60
TSph7,5/23/04,2004,May,84.12,0.00,0.00,1178.32,0.35,0.00,0.00,10.84,108.69
TSph7,5/26/04,2004,May,77.79,0.00,0.00,1089.60,0.46,0.00,0.00,14.25,76.47
TSph7,5/29/04,2004,May,48.10,0.00,0.00,673.68,0.21,0.00,0.00,6.50,103.57
TSph7,6/1/04,2004,June,39.32,0.00,0.00,550.73,0.19,0.00,0.00,5.89,93.58
TSph7,6/4/04,2004,June,34.35,0.00,0.00,481.18,0.17,0.00,0.00,5.27,91.38
TSph7,6/7/04,2004,June,32.78,0.00,0.00,459.09,0.16,0.00,0.00,4.96,92.64
