Site,Date,Year,Salinity,TN_um_L,TN_moles_L,TN_g_L,TN_ug_L,TP_um_L,TP_moles_L,TP_g_L,TP_ug_L,NP_molar,NP_mass
SRS2,1/15/01,2001,0.00,66.85,0.000067,0.000936,936.33,0.12,0.000000,0.000004,3.72,557.06,251.91
SRS3,1/15/01,2001,0.00,63.85,0.000064,0.000894,894.37,0.09,0.000000,0.000003,2.79,709.47,320.83
SRS1,1/16/01,2001,0.00,36.33,0.000036,0.000509,508.82,0.37,0.000000,0.000011,11.46,98.18,44.40
SRS4,1/17/01,2001,3.00,42.03,0.000042,0.000589,588.66,0.17,0.000000,0.000005,5.27,247.21,111.79
SRS5,1/17/01,2001,16.00,34.49,0.000034,0.000483,483.07,0.43,0.000000,0.000013,13.32,80.20,36.27
SRS6,1/17/01,2001,22.00,18.98,0.000019,0.000266,265.91,0.49,0.000000,0.000015,15.18,38.74,17.52
SRS1,1/18/01,2001,0.00,36.21,0.000036,0.000507,507.19,0.36,0.000000,0.000011,11.15,100.58,45.49
SRS2,1/18/01,2001,0.00,75.75,0.000076,0.001061,1061.02,0.11,0.000000,0.000003,3.41,688.63,311.41
SRS3,1/18/01,2001,0.00,54.61,0.000055,0.000765,764.85,0.07,0.000000,0.000002,2.17,780.07,352.76
SRS1,1/19/01,2001,0.00,31.88,0.000032,0.000446,446.47,0.24,0.000000,0.000007,7.43,132.81,60.06
SRS4,1/20/01,2001,3.00,42.41,0.000042,0.000594,594.08,0.19,0.000000,0.000006,5.89,223.23,100.95
SRS5,1/20/01,2001,17.00,32.83,0.000033,0.000460,459.84,0.39,0.000000,0.000012,12.08,84.18,38.07
SRS6,1/20/01,2001,23.00,16.12,0.000016,0.000226,225.79,0.47,0.000000,0.000015,14.56,34.30,15.51
SRS2,1/21/01,2001,0.00,57.42,0.000057,0.000804,804.31,0.10,0.000000,0.000003,3.10,574.22,259.67
SRS3,1/21/01,2001,0.00,62.93,0.000063,0.000882,881.52,0.11,0.000000,0.000003,3.41,572.13,258.73
SRS4,1/23/01,2001,3.00,36.73,0.000037,0.000514,514.42,0.18,0.000000,0.000006,5.58,204.03,92.27
SRS5,1/23/01,2001,14.00,30.50,0.000030,0.000427,427.16,0.21,0.000000,0.000007,6.50,145.22,65.67
SRS6,1/23/01,2001,21.00,12.96,0.000013,0.000181,181.46,0.55,0.000001,0.000017,17.04,23.55,10.65
SRS2,1/24/01,2001,0.00,62.03,0.000062,0.000869,868.88,0.13,0.000000,0.000004,4.03,477.17,215.78
SRS3,1/24/01,2001,0.00,61.29,0.000061,0.000859,858.50,0.11,0.000000,0.000003,3.41,557.19,251.97
SRS3,1/25/01,2001,0.00,61.89,0.000062,0.000867,866.92,0.43,0.000000,0.000013,13.32,143.93,65.09
SRS4,1/25/01,2001,2.00,44.99,0.000045,0.000630,630.20,0.18,0.000000,0.000006,5.58,249.96,113.03
SRS5,1/25/01,2001,14.00,34.70,0.000035,0.000486,486.07,0.23,0.000000,0.000007,7.12,150.88,68.23
SRS6,1/25/01,2001,22.00,13.53,0.000014,0.000189,189.46,0.54,0.000001,0.000017,16.73,25.05,11.33
SRS2,1/26/01,2001,0.00,60.86,0.000061,0.000852,852.41,0.12,0.000000,0.000004,3.72,507.13,229.33
SRS3,1/28/01,2001,0.00,53.11,0.000053,0.000744,743.90,0.00,0.000000,0.000000,0.03,53109.00,24016.85
SRS5,1/28/01,2001,14.50,27.29,0.000027,0.000382,382.27,0.00,0.000000,0.000000,0.03,27291.00,12341.48
SRS6,1/28/01,2001,21.50,20.23,0.000020,0.000283,283.39,0.62,0.000001,0.000019,19.20,32.63,14.76
SRS2,1/29/01,2001,0.00,56.55,0.000057,0.000792,792.07,0.17,0.000000,0.000005,5.27,332.64,150.42
SRS4,1/29/01,2001,2.00,0.00,0.000000,0.000000,0.01,0.00,0.000000,0.000000,0.03,1.00,0.45
SRS3,1/31/01,2001,0.00,83.16,0.000083,0.001165,1164.84,0.00,0.000000,0.000000,0.03,83161.00,37606.90
SRS5,1/31/01,2001,17.00,27.40,0.000027,0.000384,383.75,0.35,0.000000,0.000011,10.84,78.28,35.40
SRS6,1/31/01,2001,22.50,17.38,0.000017,0.000243,243.37,0.50,0.000001,0.000015,15.49,34.75,15.71
SRS2,2/1/01,2001,0.00,55.60,0.000056,0.000779,778.80,0.24,0.000000,0.000007,7.43,231.67,104.77
SRS4,2/1/01,2001,2.50,41.41,0.000041,0.000580,579.96,0.19,0.000000,0.000006,5.89,217.92,98.55
SRS5,2/3/01,2001,14.00,26.45,0.000026,0.000370,370.50,0.00,0.000000,0.000000,0.03,26451.00,11961.62
SRS6,2/3/01,2001,22.00,19.06,0.000019,0.000267,266.93,0.51,0.000001,0.000016,15.80,37.37,16.90
SRS2,2/4/01,2001,0.00,59.13,0.000059,0.000828,828.26,0.24,0.000000,0.000007,7.43,246.38,111.42
SRS4,2/4/01,2001,3.00,0.00,0.000000,0.000000,0.01,0.00,0.000000,0.000000,0.03,1.00,0.45
SRS3,2/5/01,2001,0.00,114.80,0.000115,0.001608,1608.03,0.00,0.000000,0.000000,0.03,114802.00,51915.53
SRS5,2/6/01,2001,13.00,26.22,0.000026,0.000367,367.31,0.00,0.000000,0.000000,0.03,26223.00,11858.51
SRS6,2/6/01,2001,22.00,17.23,0.000017,0.000241,241.28,0.57,0.000001,0.000018,17.66,30.22,13.67
SRS2,2/7/01,2001,0.00,58.37,0.000058,0.000818,817.55,0.21,0.000000,0.000007,6.50,277.94,125.69
SRS4,2/7/01,2001,3.00,34.33,0.000034,0.000481,480.79,0.57,0.000001,0.000018,17.66,60.22,27.23
SRS5,2/9/01,2001,16.00,23.33,0.000023,0.000327,326.78,0.31,0.000000,0.000010,9.60,75.26,34.03
SRS6,2/9/01,2001,23.00,18.60,0.000019,0.000260,260.47,0.58,0.000001,0.000018,17.96,32.06,14.50
SRS2,2/10/01,2001,0.00,60.47,0.000060,0.000847,846.96,0.29,0.000000,0.000009,8.98,208.51,94.29
SRS4,2/10/01,2001,3.00,0.00,0.000000,0.000000,0.01,0.00,0.000000,0.000000,0.03,1.00,0.45
SRS5,2/12/01,2001,18.50,20.06,0.000020,0.000281,280.91,0.40,0.000000,0.000012,12.39,50.14,22.67
SRS6,2/12/01,2001,23.50,17.04,0.000017,0.000239,238.72,1.07,0.000001,0.000033,33.14,15.93,7.20
