"name","type","source","code","mean","sd","lowend","highend","mid","low","up","ymax","ymin"
"Striped Mullet","RB10","Phytoplankton","Wet",0.358,0.216,0.037,0.83,0.34,0.181,0.499,0.83,0.037
"Tidewater Mojarra","RB10","Epiphytes","Wet",0.206,0.185,0.001,0.662,0.164,0.045,0.322,0.662,0.001
"Tidewater Mojarra","RB10","Floc","Wet",0.19,0.155,0.012,0.609,0.149,0.072,0.262,0.547,0.012
"Tidewater Mojarra","RB10","Mangrove","Wet",0.129,0.149,0.001,0.521,0.068,0.018,0.195,0.4605,0.001
"Tidewater Mojarra","RB10","Phytoplankton","Wet",0.476,0.183,0.087,0.838,0.479,0.361,0.595,0.838,0.087
"Tidewater Silverside","RB10","Epiphytes","Dry",0.109,0.106,0.001,0.386,0.077,0.029,0.155,0.344,0.001
"Tidewater Silverside","RB10","Floc","Dry",0.184,0.118,0.022,0.463,0.163,0.094,0.251,0.463,0.022
"Tidewater Silverside","RB10","Mangrove","Dry",0.147,0.144,0.002,0.499,0.096,0.03,0.232,0.499,0.002
"Tidewater Silverside","RB10","Phytoplankton","Dry",0.56,0.154,0.259,0.856,0.562,0.454,0.67,0.856,0.259
"Tidewater Silverside","RB10","Epiphytes","Wet",0.183,0.159,0.001,0.564,0.147,0.046,0.282,0.564,0.001
"Tidewater Silverside","RB10","Floc","Wet",0.208,0.137,0.016,0.524,0.187,0.101,0.29,0.524,0.016
"Tidewater Silverside","RB10","Mangrove","Wet",0.175,0.179,0.001,0.617,0.107,0.027,0.28,0.617,0.001
"Tidewater Silverside","RB10","Phytoplankton","Wet",0.434,0.152,0.171,0.754,0.422,0.326,0.532,0.754,0.171
